SpeciesID,SpeciesName,CapsaicinContent (ppm),FruitSize (cm),Color,HeatLevel (SHU),GeneticMarker1,GeneticMarker2,DiseaseResistance,Yield (kg/plant),GrowingConditions,FloweringTime (days),MaturityTime (days),PestResistance,DroughtTolerance,Crossability,CropGenetics
23,Capsicum eximium,1285,11.868826509143199,Purple,88620,G4,G8,Medium,4.376806814678139,"Warm, Humid",64,83,High,Medium,High,Gen-91
24,Capsicum tovarii,1070,5.163855433984319,Orange,159758,G1,G5,Low,2.97949725987329,"Warm, Dry",41,139,High,Low,Medium,Gen-53
25,Capsicum annuum,955,5.516202010250237,Purple,112333,G1,G2,High,8.527160699201392,"Warm, Humid",68,128,Low,Low,Medium,Gen-76
26,Capsicum chinense,530,10.131864984902212,Yellow,158395,G4,G1,High,4.58276631539742,"Cool, Dry",47,145,High,Medium,Medium,Gen-58
27,Capsicum chacoense,348,13.634115879114983,Green,121994,G3,G1,Medium,4.702678113365655,"Warm, Dry",49,104,High,Medium,High,Gen-7
28,Capsicum chacoense,1273,4.6462613791089815,Yellow,139993,G6,G9,Medium,6.040666295676761,"Cool, Dry",45,109,High,Low,Low,Gen-67
29,Capsicum eximium,1009,11.578566245128059,Yellow,81748,G9,G7,Low,6.394187251195245,"Warm, Humid",44,115,Low,Low,High,Gen-59
30,Capsicum rhomboideum,1395,14.044531260634816,Red,153402,G7,G8,Low,7.167557960104047,"Warm, Dry",69,142,Low,Low,Low,Gen-86
31,Capsicum flexuosum,308,6.5270589649083135,Orange,65130,G9,G9,High,1.3726951288305478,"Cool, Dry",52,91,Low,Medium,High,Gen-90
32,Capsicum lanceolatum,388,4.997029727866561,Orange,4123,G4,G3,Medium,1.6991048313176966,"Cool, Dry",67,128,High,High,High,Gen-98
33,Capsicum chacoense,1449,13.170447237466803,Red,122593,G7,G1,High,9.883999294975842,"Warm, Dry",44,148,Medium,High,High,Gen-90
34,Capsicum frutescens,683,6.600226150155787,Red,102809,G3,G4,Medium,5.925329976132197,"Warm, Humid",52,107,Low,Medium,Medium,Gen-97
35,Capsicum frutescens,1313,6.631885520756967,Yellow,114081,G3,G9,Medium,2.3283833992780147,"Warm, Dry",63,123,Low,High,Medium,Gen-3
36,Capsicum cardenasii,900,9.863939154067578,Yellow,114588,G7,G2,Low,9.78541531868876,"Warm, Humid",59,131,Medium,High,High,Gen-74
37,Capsicum chacoense,909,11.603195920943286,Orange,113271,G1,G2,High,4.753887150678966,"Warm, Humid",63,94,Low,Medium,High,Gen-93
38,Capsicum lanceolatum,1084,3.8690980486403337,Green,97577,G9,G1,Low,2.079346211401128,"Warm, Humid",65,90,Low,Medium,High,Gen-62
39,Capsicum lanceolatum,377,11.149747582667128,Purple,125033,G4,G7,Low,4.4085701753998805,"Cool, Dry",41,102,Medium,Medium,High,Gen-41
40,Capsicum baccatum,1384,14.941681568451125,Red,26593,G8,G1,Medium,2.32325542050588,"Warm, Dry",60,145,Low,High,Low,Gen-92
41,Capsicum chacoense,1181,7.815818285281101,Orange,134236,G8,G8,Low,3.5207152789944094,"Warm, Dry",58,132,High,Low,Low,Gen-45
42,Capsicum rhomboideum,1026,8.092543459186446,Orange,93012,G7,G2,High,3.801239508829636,"Warm, Dry",54,95,Low,Low,High,Gen-21
43,Capsicum chinense,1111,14.591603672576856,Yellow,54961,G7,G7,Medium,7.196261038222301,"Warm, Humid",41,138,Medium,Low,Medium,Gen-26
44,Capsicum flexuosum,567,10.732001167908859,Yellow,122524,G8,G9,High,9.594965881412111,"Warm, Humid",40,95,Medium,High,Low,Gen-24
45,Capsicum baccatum,1430,10.645249012674082,Yellow,139524,G5,G4,Medium,6.0988407179046416,"Warm, Dry",67,105,Low,High,Low,Gen-25
46,Capsicum baccatum,1462,4.704780133059476,Green,147774,G3,G3,High,8.65629342084457,"Warm, Dry",51,140,Low,Low,Medium,Gen-50
47,Capsicum eximium,1236,13.283985425026174,Orange,38625,G4,G6,Medium,7.301803450399491,"Warm, Dry",64,130,High,Low,High,Gen-8
48,Capsicum tovarii,1425,13.38932842729623,Purple,83212,G2,G6,Medium,2.652182958349382,"Cool, Dry",45,81,High,Low,Medium,Gen-79
49,Capsicum chacoense,1420,8.345766082926707,Red,74554,G1,G1,Medium,8.649000261072576,"Cool, Dry",42,116,Medium,Low,Low,Gen-14
50,Capsicum cardenasii,962,3.481077391171557,Yellow,134507,G1,G1,Low,3.0805353049186124,"Warm, Humid",56,135,Low,High,Low,Gen-36
51,Capsicum rhomboideum,833,9.679697859031398,Purple,77535,G1,G6,Low,8.552970018074188,"Warm, Dry",43,89,High,High,Low,Gen-34
52,Capsicum frutescens,1342,14.287964742634532,Purple,115511,G6,G2,High,9.027612737322382,"Warm, Humid",40,137,High,Medium,Medium,Gen-4
53,Capsicum chacoense,1365,6.4979488860262995,Orange,163635,G7,G1,High,4.70170092981675,"Warm, Dry",59,148,Medium,Low,High,Gen-8
54,Capsicum frutescens,947,11.270115415664113,Red,19849,G1,G5,Medium,5.87885529095193,"Cool, Dry",64,102,Medium,High,Low,Gen-6
55,Capsicum lanceolatum,963,8.390222179666669,Orange,7823,G1,G9,Medium,8.366253799658963,"Cool, Dry",67,126,Medium,Medium,Low,Gen-71
56,Capsicum pubescens,1023,8.284294130600877,Orange,161926,G3,G5,High,1.4869035638331858,"Warm, Humid",41,140,Low,High,Medium,Gen-31
57,Capsicum annuum,703,7.381417012672644,Red,178509,G5,G7,Medium,1.8768957047260857,"Warm, Humid",43,82,Low,Medium,High,Gen-13
58,Capsicum eximium,1081,12.967247012136031,Green,55774,G6,G8,High,7.831828862039804,"Warm, Humid",44,137,High,High,High,Gen-82
59,Capsicum baccatum,1379,7.3053007778484185,Green,121063,G6,G9,Medium,6.2321623061894,"Cool, Dry",66,104,Medium,Medium,Medium,Gen-42
60,Capsicum chacoense,1134,4.204404919976933,Purple,155476,G3,G3,High,5.1802773144460295,"Cool, Dry",59,111,High,Low,Low,Gen-1
61,Capsicum flexuosum,353,5.328008098120858,Green,162775,G9,G9,Low,9.675287230030166,"Cool, Dry",56,111,Low,High,High,Gen-30
62,Capsicum flexuosum,1475,12.509046980875082,Yellow,143640,G5,G9,Low,8.26397274035581,"Warm, Dry",64,93,High,High,Medium,Gen-31
63,Capsicum chinense,1424,9.449233700170655,Yellow,113078,G6,G8,High,4.186326647251791,"Warm, Humid",66,126,High,High,Medium,Gen-21
64,Capsicum cardenasii,374,11.549226269357412,Yellow,44493,G1,G6,Medium,4.692609368295345,"Cool, Dry",59,125,High,Medium,Medium,Gen-9
65,Capsicum pubescens,1305,12.204717371526373,Yellow,140326,G1,G8,Low,2.4105028490957823,"Warm, Humid",48,122,Medium,High,Low,Gen-54
66,Capsicum rhomboideum,1367,3.4717685008179986,Yellow,13635,G3,G3,High,2.9368637357322336,"Warm, Humid",61,127,Medium,High,Medium,Gen-38
67,Capsicum rhomboideum,838,14.37471673875126,Purple,113417,G2,G3,Medium,4.206507857720065,"Cool, Dry",44,122,Low,Low,Medium,Gen-52
68,Capsicum tovarii,1408,12.290921847545158,Green,119646,G5,G3,Low,9.363702562761986,"Cool, Dry",69,148,High,High,Medium,Gen-88
69,Capsicum pubescens,758,6.184004574861608,Red,140031,G7,G2,Low,8.465427379903257,"Warm, Dry",58,116,High,Medium,High,Gen-26
70,Capsicum flexuosum,843,6.84875403795261,Orange,59673,G1,G9,High,3.8594145725758846,"Cool, Dry",51,85,Low,Medium,Medium,Gen-13
71,Capsicum chacoense,863,7.368637942133328,Yellow,128037,G7,G1,Medium,4.802526120876447,"Warm, Humid",67,98,Medium,Low,Medium,Gen-83
72,Capsicum lanceolatum,1123,13.44861217567511,Orange,169511,G5,G3,Medium,2.205143047162181,"Cool, Dry",51,85,Medium,Medium,High,Gen-79
73,Capsicum eximium,1331,5.908115425150438,Red,63479,G5,G3,High,3.2697301947587567,"Cool, Dry",53,138,High,High,Medium,Gen-95
74,Capsicum frutescens,1232,3.2904743434453785,Yellow,133723,G2,G6,Medium,3.029252693639452,"Warm, Dry",52,119,Low,Medium,Low,Gen-44
75,Capsicum eximium,1351,8.531448657706068,Yellow,63829,G1,G8,High,6.84953395975338,"Warm, Dry",67,87,Low,Medium,Low,Gen-95
76,Capsicum lanceolatum,816,5.131323100180081,Yellow,37350,G3,G5,Low,1.626575716228114,"Warm, Dry",64,104,High,High,High,Gen-25
77,Capsicum frutescens,966,3.272015454654526,Red,145847,G6,G1,Medium,3.353092602771757,"Warm, Dry",48,115,High,High,High,Gen-98
78,Capsicum chacoense,847,7.965379847733862,Red,114078,G2,G4,High,7.4508859134371415,"Warm, Dry",41,84,Medium,High,Medium,Gen-23
79,Capsicum rhomboideum,1310,10.898093916769364,Orange,72968,G6,G7,Medium,9.210362498766061,"Warm, Humid",67,145,High,High,Low,Gen-86
80,Capsicum pubescens,378,12.52496715012102,Yellow,179863,G2,G6,High,7.563451721376521,"Cool, Dry",61,132,High,Low,Medium,Gen-60
81,Capsicum chacoense,1277,8.201003300884084,Green,11296,G9,G9,High,5.710112835068812,"Warm, Dry",43,99,Medium,High,Low,Gen-34
82,Capsicum galapagoense,594,7.003658095995135,Yellow,180326,G1,G5,Low,1.9091343972444392,"Warm, Dry",64,90,Low,Low,High,Gen-84
83,Capsicum annuum,1276,4.18222260912964,Orange,182571,G4,G9,Medium,3.3501840281146205,"Cool, Dry",54,109,High,High,Medium,Gen-44
84,Capsicum chinense,1270,14.681980292672538,Purple,38433,G8,G1,High,1.862177339203162,"Warm, Humid",61,80,Low,Medium,Low,Gen-97
85,Capsicum chacoense,1416,11.530698013191408,Red,133616,G4,G2,High,3.8399967403551813,"Warm, Dry",61,138,Low,Low,Low,Gen-11
86,Capsicum baccatum,801,9.873446387225556,Orange,32257,G4,G5,Low,4.453365684185144,"Warm, Dry",46,132,High,High,Low,Gen-61
87,Capsicum pubescens,807,9.452234423697556,Yellow,13732,G1,G8,High,4.582325652721169,"Warm, Dry",45,86,Low,High,Medium,Gen-2
88,Capsicum cardenasii,353,14.094580154315901,Purple,74037,G7,G9,High,5.3492933416682735,"Warm, Humid",43,112,Medium,High,Low,Gen-9
89,Capsicum chacoense,613,8.575701967844157,Green,142318,G9,G9,Medium,6.550012596951638,"Warm, Humid",63,108,Medium,High,Low,Gen-38
90,Capsicum chinense,1495,11.166825787049385,Green,20697,G6,G7,Medium,3.9340685344462507,"Warm, Dry",42,122,Medium,High,High,Gen-44
91,Capsicum chinense,753,12.814388970417355,Purple,53224,G3,G3,High,6.21792736504266,"Warm, Dry",41,102,High,Medium,High,Gen-49
92,Capsicum cardenasii,626,8.05700334938027,Red,128734,G1,G1,Low,3.121592762303636,"Warm, Dry",46,149,Medium,High,Low,Gen-29
93,Capsicum tovarii,444,3.234217247513369,Green,124488,G5,G4,High,9.741625941852393,"Warm, Humid",57,86,High,Low,Low,Gen-90
94,Capsicum chacoense,1459,6.399097287128791,Red,173439,G4,G5,High,1.1581544953068637,"Warm, Dry",51,109,Low,Medium,High,Gen-64
95,Capsicum chacoense,651,12.911546057237157,Orange,149056,G8,G9,High,3.886035179540063,"Cool, Dry",50,111,High,Low,Medium,Gen-80
96,Capsicum tovarii,1225,11.950592087469783,Orange,119981,G6,G6,Medium,8.87099821212793,"Warm, Dry",63,146,High,Low,Medium,Gen-8
97,Capsicum eximium,628,8.972497164375056,Yellow,83603,G3,G3,Low,4.459191466154525,"Warm, Humid",63,95,Low,Low,Medium,Gen-25
98,Capsicum lanceolatum,1049,9.104298293830361,Orange,181161,G2,G8,High,6.0817510753132975,"Warm, Dry",60,147,Medium,Medium,Low,Gen-15
99,Capsicum baccatum,1417,7.24252223893615,Orange,148202,G4,G1,Medium,4.253565597699572,"Warm, Humid",50,100,High,High,Low,Gen-94
100,Capsicum tovarii,1219,13.194211699722697,Purple,141388,G2,G7,High,4.492698458208917,"Warm, Humid",56,105,High,Medium,Low,Gen-98
101,Capsicum lanceolatum,1422,12.853428494666954,Green,132299,G3,G8,High,1.6011243254113563,"Cool, Dry",51,131,High,High,High,Gen-17
102,Capsicum eximium,1247,5.513777884593132,Yellow,49296,G3,G8,Medium,7.362879544580659,"Warm, Humid",42,130,Medium,Low,High,Gen-44
103,Capsicum baccatum,1408,11.695397654127772,Purple,128025,G8,G9,High,2.104366998951332,"Warm, Dry",63,90,Medium,High,Low,Gen-9
104,Capsicum cardenasii,470,10.852061852649527,Green,29472,G7,G8,High,1.0270077841113905,"Cool, Dry",43,105,High,Low,Low,Gen-45
105,Capsicum tovarii,916,7.018163450961239,Green,135491,G1,G1,High,9.178185569940007,"Warm, Dry",59,120,High,Medium,High,Gen-65
106,Capsicum frutescens,896,3.8540675968597355,Green,168090,G2,G3,Low,9.74022000852856,"Cool, Dry",55,111,High,High,Medium,Gen-83
107,Capsicum galapagoense,1417,6.745932093520494,Yellow,170963,G5,G8,Medium,6.19256741677743,"Cool, Dry",40,113,High,Medium,Low,Gen-63
108,Capsicum rhomboideum,855,5.1536693161940335,Orange,126015,G9,G9,Low,6.4485460585707335,"Warm, Humid",50,144,High,High,High,Gen-34
109,Capsicum galapagoense,1182,14.474332973463621,Red,132736,G1,G7,Medium,8.211279457019478,"Warm, Dry",42,145,Medium,Low,High,Gen-75
110,Capsicum lanceolatum,665,4.970633545269692,Purple,36892,G1,G5,Low,1.0339541370633865,"Warm, Humid",57,137,Medium,Medium,High,Gen-96
111,Capsicum galapagoense,493,10.503977649102966,Green,118367,G3,G1,Low,8.215612728321355,"Warm, Dry",47,81,High,High,Low,Gen-30
112,Capsicum frutescens,584,3.6762533749960724,Yellow,111089,G7,G1,Low,5.534732057403389,"Warm, Dry",66,107,Medium,High,Medium,Gen-44
113,Capsicum chacoense,657,14.507558958967913,Red,6655,G3,G1,Low,1.7346265395984624,"Warm, Dry",55,128,Low,Medium,High,Gen-3
114,Capsicum baccatum,448,6.621758587561092,Red,159929,G6,G4,High,6.9059154124820825,"Warm, Dry",68,93,Medium,Medium,Medium,Gen-92
115,Capsicum pubescens,845,3.6171540376831035,Yellow,167304,G4,G8,Low,1.9370930103049782,"Warm, Humid",55,120,Medium,Low,High,Gen-25
116,Capsicum galapagoense,1052,8.955496119226023,Orange,54432,G7,G3,High,5.433807161700379,"Warm, Dry",41,110,High,Medium,Low,Gen-30
117,Capsicum eximium,1026,14.979353658022456,Purple,194662,G5,G2,High,1.81925203883526,"Warm, Dry",54,90,Low,High,Low,Gen-41
118,Capsicum baccatum,1435,12.46674810201595,Purple,46140,G7,G1,High,5.399843916419567,"Cool, Dry",47,127,Low,Low,Low,Gen-53
119,Capsicum cardenasii,881,8.778376959610243,Orange,26860,G2,G7,Medium,2.3791400596809944,"Warm, Dry",65,136,Medium,Medium,Low,Gen-28
120,Capsicum frutescens,383,4.520122484392848,Yellow,199603,G4,G9,Medium,9.603018019934895,"Warm, Dry",41,138,Low,Medium,High,Gen-24
121,Capsicum tovarii,1327,12.305319064959782,Orange,139647,G1,G2,Medium,6.214194370611519,"Warm, Dry",40,127,Medium,Low,Medium,Gen-10
122,Capsicum baccatum,895,4.4677802208148245,Orange,98990,G6,G5,Medium,9.985484727852736,"Warm, Humid",58,92,Medium,Low,Medium,Gen-46
123,Capsicum chacoense,1133,11.685198795067707,Green,153376,G8,G4,Medium,2.784233438868591,"Cool, Dry",49,117,Low,High,Low,Gen-93
124,Capsicum pubescens,906,3.91968504812721,Green,75526,G7,G7,Medium,4.612147898406444,"Warm, Humid",67,100,High,Medium,High,Gen-11
125,Capsicum lanceolatum,824,10.55182568342269,Red,42237,G6,G1,Medium,5.193216840823567,"Warm, Dry",43,114,Low,Medium,Low,Gen-21
126,Capsicum eximium,927,14.664947839016133,Orange,51047,G5,G3,High,4.867066448497887,"Cool, Dry",51,131,Medium,Low,Medium,Gen-60
127,Capsicum annuum,1373,8.188398100625836,Yellow,128777,G8,G1,Medium,9.779625017928856,"Cool, Dry",54,122,Low,Low,Medium,Gen-99
128,Capsicum annuum,899,11.214402042165847,Red,92005,G3,G1,High,4.475797320541329,"Warm, Humid",61,116,High,High,Low,Gen-66
129,Capsicum chacoense,987,3.478718356009098,Red,154932,G6,G5,Medium,7.8625329107306206,"Warm, Dry",65,97,Medium,Low,High,Gen-96
130,Capsicum eximium,633,8.187260861115805,Purple,94020,G8,G8,High,9.158358964226304,"Warm, Humid",58,130,Low,Medium,High,Gen-19
131,Capsicum tovarii,432,6.306635597859135,Orange,167961,G2,G1,Medium,5.6781666959721875,"Cool, Dry",52,122,High,High,High,Gen-24
132,Capsicum baccatum,972,3.2299757317966797,Orange,126074,G3,G5,Medium,5.005001762885637,"Cool, Dry",58,133,Low,Medium,High,Gen-12
133,Capsicum lanceolatum,1395,12.283358639767716,Purple,158718,G9,G7,Low,1.0294222992654438,"Cool, Dry",51,109,Medium,High,Medium,Gen-21
134,Capsicum chacoense,711,6.055437767322861,Orange,123223,G1,G1,High,1.2860137033707844,"Warm, Humid",62,136,Medium,Low,Medium,Gen-2
135,Capsicum lanceolatum,460,10.270151494463137,Yellow,77907,G5,G4,Low,4.0422796974744095,"Warm, Humid",53,146,Low,Medium,Low,Gen-38
136,Capsicum galapagoense,1118,7.45737740089867,Red,174788,G6,G8,High,3.231013718479159,"Warm, Dry",68,91,Low,High,Medium,Gen-46
137,Capsicum lanceolatum,587,10.447476718860786,Red,102732,G1,G2,High,3.781978112816909,"Cool, Dry",50,111,Medium,Medium,Medium,Gen-54
138,Capsicum lanceolatum,1290,6.275828957587555,Orange,148000,G2,G2,High,5.724060022044771,"Warm, Dry",46,99,Low,High,Low,Gen-45
139,Capsicum annuum,1222,12.007898499016788,Orange,82185,G2,G4,Low,7.639623520169934,"Cool, Dry",60,93,Medium,Low,Low,Gen-23
140,Capsicum annuum,1312,13.008350930664648,Yellow,29082,G8,G6,Low,8.822623388673245,"Warm, Humid",60,118,High,Medium,Low,Gen-17
141,Capsicum eximium,1206,3.6855130477790876,Yellow,95990,G6,G3,High,7.391989215336752,"Warm, Humid",40,117,Low,Medium,Low,Gen-50
142,Capsicum eximium,1119,9.503277293717126,Green,35624,G6,G3,Medium,3.5633643320833244,"Cool, Dry",49,85,High,High,Medium,Gen-22
143,Capsicum rhomboideum,1014,3.8114057550483484,Yellow,119592,G5,G8,Medium,8.783277220945987,"Warm, Humid",67,116,Low,High,High,Gen-67
144,Capsicum frutescens,745,11.029874845201146,Purple,133408,G4,G9,Medium,2.4401863304349347,"Warm, Humid",47,111,Medium,Low,High,Gen-58
145,Capsicum galapagoense,1378,7.049818521169596,Yellow,138195,G9,G6,Medium,5.97113267261225,"Cool, Dry",45,136,High,Low,High,Gen-65
146,Capsicum eximium,969,10.460219046230605,Orange,80404,G5,G3,Low,3.444623015275032,"Warm, Humid",57,95,High,Low,Low,Gen-26
147,Capsicum chacoense,1331,5.319353799388971,Green,69210,G9,G5,Low,5.530776790513872,"Warm, Humid",59,131,Medium,Medium,Low,Gen-92
148,Capsicum annuum,1318,11.779637790386172,Yellow,189149,G9,G4,Medium,3.7829484422920476,"Warm, Humid",41,130,Medium,Low,Medium,Gen-55
149,Capsicum rhomboideum,1420,3.959735454188649,Yellow,143365,G1,G2,Medium,3.5612009269719844,"Warm, Dry",44,88,Medium,Low,Low,Gen-1
150,Capsicum cardenasii,310,9.745462765903481,Red,32552,G2,G5,Medium,9.693292087866778,"Warm, Humid",42,113,Low,High,Low,Gen-70
151,Capsicum baccatum,427,5.742274240225834,Orange,77291,G4,G5,Medium,9.324713947341719,"Warm, Dry",48,109,Medium,Medium,Medium,Gen-67
152,Capsicum flexuosum,419,6.824544043353132,Purple,198787,G3,G6,Medium,4.216464223678953,"Warm, Dry",62,91,High,Low,High,Gen-43
153,Capsicum galapagoense,1129,5.455034230907188,Purple,99809,G3,G8,High,3.8451808302481036,"Cool, Dry",61,125,Low,Medium,Medium,Gen-23
154,Capsicum lanceolatum,812,12.708998466560084,Orange,181685,G6,G3,High,4.826534220276062,"Warm, Humid",68,101,Low,High,High,Gen-50
155,Capsicum chinense,971,3.4828169996433744,Purple,171049,G3,G1,High,4.824551670879366,"Warm, Dry",64,110,Medium,High,Low,Gen-68
156,Capsicum pubescens,1144,11.352937714609496,Orange,85101,G1,G2,Medium,3.7479169346605112,"Warm, Humid",42,148,Low,Low,High,Gen-57
157,Capsicum chacoense,426,4.800760335921559,Green,29723,G3,G7,Low,2.380206714338141,"Warm, Dry",40,146,Low,High,Medium,Gen-43
158,Capsicum cardenasii,1144,14.590875274312236,Purple,79843,G9,G7,Low,1.5869191901195874,"Cool, Dry",53,108,Medium,High,Medium,Gen-76
159,Capsicum lanceolatum,1142,5.9484501530591185,Purple,26010,G2,G8,High,8.435931735775084,"Warm, Humid",44,87,Medium,High,High,Gen-40
160,Capsicum tovarii,384,9.803768801147294,Purple,17232,G4,G8,High,3.579082180548584,"Warm, Humid",51,97,Medium,Medium,Medium,Gen-16
161,Capsicum frutescens,886,6.894089487634131,Yellow,64205,G1,G9,Medium,7.829352009632806,"Warm, Humid",54,106,Low,Medium,High,Gen-7
162,Capsicum annuum,695,7.193914542554658,Purple,41535,G9,G4,High,1.7674095988231309,"Warm, Dry",49,80,High,Low,Medium,Gen-71
163,Capsicum lanceolatum,615,7.343302881547995,Green,9964,G9,G2,Low,6.156300626077217,"Warm, Humid",62,147,High,High,Low,Gen-32
164,Capsicum cardenasii,476,9.968174644609533,Green,74164,G6,G3,Low,8.33969752632541,"Warm, Dry",65,104,Low,High,Medium,Gen-49
165,Capsicum pubescens,1092,8.254574356742664,Purple,65586,G4,G2,Low,3.679753397396331,"Warm, Dry",58,105,Low,Medium,High,Gen-23
166,Capsicum baccatum,1289,8.686793019564323,Orange,159102,G1,G5,High,7.698511754862787,"Warm, Humid",54,104,High,Medium,High,Gen-55
167,Capsicum eximium,1065,6.538397703282833,Purple,135279,G5,G3,Low,3.57853143645495,"Warm, Dry",62,130,Low,Low,Low,Gen-3
168,Capsicum galapagoense,1274,10.224155785205951,Green,57629,G4,G6,Medium,4.109839873771744,"Warm, Dry",50,86,Medium,Medium,High,Gen-77
169,Capsicum tovarii,841,6.228104118995953,Orange,197596,G2,G4,Medium,1.1680616975193399,"Warm, Dry",48,123,High,Medium,High,Gen-89
170,Capsicum annuum,320,3.181697177211976,Orange,117009,G7,G5,High,6.185126540838114,"Warm, Humid",40,82,Low,Low,Low,Gen-22
171,Capsicum eximium,1376,10.4315747687417,Yellow,51059,G5,G8,Medium,7.0055941263628085,"Cool, Dry",56,114,High,Medium,Medium,Gen-59
172,Capsicum pubescens,861,10.37551886582552,Red,11377,G3,G6,Low,6.079176584112102,"Warm, Dry",54,101,Medium,Medium,High,Gen-90
173,Capsicum rhomboideum,1147,9.847258631067637,Purple,54463,G4,G3,Low,6.923272286348245,"Cool, Dry",47,109,Low,Low,Medium,Gen-45
174,Capsicum cardenasii,830,8.562118379403792,Green,168236,G4,G4,High,9.699218980982002,"Warm, Humid",42,128,Low,High,Low,Gen-72
175,Capsicum tovarii,1110,14.181253972132023,Orange,104219,G2,G5,Medium,4.310912063696412,"Warm, Dry",42,87,Low,High,Medium,Gen-94
176,Capsicum frutescens,1418,10.261864483072014,Orange,101443,G6,G9,Low,1.340493472854954,"Warm, Dry",48,145,Medium,Low,High,Gen-20
177,Capsicum cardenasii,1001,14.72406305188038,Purple,17634,G2,G5,High,6.564935046304969,"Warm, Dry",69,148,Low,Medium,Low,Gen-19
178,Capsicum tovarii,1325,12.586325126972191,Yellow,116711,G7,G1,Medium,5.014440067879775,"Warm, Dry",45,114,High,Low,Medium,Gen-35
179,Capsicum lanceolatum,616,8.930235324739584,Green,103417,G2,G1,Medium,2.9626125366280736,"Cool, Dry",42,111,Medium,Medium,Low,Gen-57
180,Capsicum frutescens,954,13.129891634813237,Green,66675,G5,G8,Low,6.122301624594984,"Cool, Dry",47,93,Medium,Medium,Low,Gen-76
181,Capsicum chinense,377,4.386254102603318,Orange,188014,G1,G3,Low,2.7288967068253465,"Warm, Humid",54,114,Low,Medium,Medium,Gen-84
182,Capsicum frutescens,301,14.257952086618943,Green,8266,G6,G3,High,4.941889382038102,"Warm, Dry",60,139,High,High,High,Gen-45
