SpeciesID,SpeciesName,CapsaicinContent (ppm),FruitSize (cm),Color,HeatLevel (SHU),GeneticMarker1,GeneticMarker2,DiseaseResistance,Yield (kg/plant),GrowingConditions,FloweringTime (days),MaturityTime (days),PestResistance,DroughtTolerance,Crossability,CropGenetics
16,Chilli lanceolatum,555,7.1450745884061195,Red,192541,G4,G5,Low,3.431771450867143,"Cool, Dry",58,105,Low,Medium,High,Gen-7
17,Chilli tovarii,884,5.325564599747338,Orange,180015,G5,G7,Low,3.8904169033875484,"Warm, Humid",45,119,High,Medium,Low,Gen-78
18,Chilli galapagoense,950,11.681694530353296,Purple,135074,G9,G6,High,6.789770495809778,"Warm, Dry",43,109,Low,Medium,High,Gen-12
19,Chilli eximium,1294,3.2535785291088763,Yellow,156457,G7,G7,High,9.83460965918948,"Warm, Humid",43,145,Low,High,Low,Gen-71
20,Chilli rhomboideum,1430,5.954294524001094,Green,132764,G3,G5,Low,2.1072145988356348,"Cool, Dry",62,123,Low,High,High,Gen-48
21,Chilli pubescens,585,10.980461838139457,Green,117869,G7,G2,Low,6.6550570964490054,"Cool, Dry",57,120,Medium,Low,High,Gen-23
22,Chilli baccatum,684,3.331195141690065,Green,81554,G2,G6,High,9.709063460363055,"Warm, Dry",59,82,High,Low,Low,Gen-37
23,Chilli tovarii,1226,13.712682905126766,Orange,36921,G7,G1,Medium,4.84163956202058,"Cool, Dry",62,117,Low,Medium,Medium,Gen-83
24,Chilli rhomboideum,1279,8.979735111123402,Red,31586,G9,G9,High,7.814820972708266,"Warm, Dry",42,118,High,Medium,Low,Gen-26
25,Chilli flexuosum,511,4.76580176844196,Red,199297,G6,G2,Medium,2.80087961289796,"Warm, Dry",42,119,Low,High,Low,Gen-14
26,Chilli baccatum,618,9.497247184227758,Yellow,60423,G4,G3,Medium,6.673781965985041,"Warm, Humid",41,86,Medium,Medium,High,Gen-21
27,Chilli lanceolatum,619,10.069267520003706,Orange,90666,G4,G4,Low,6.804602254601115,"Warm, Humid",43,122,Low,Low,High,Gen-87
28,Chilli annuum,1142,11.691402529848085,Purple,123158,G2,G7,High,8.993850692363711,"Warm, Dry",69,114,High,High,High,Gen-26
29,Chilli chinense,1025,10.213525095225172,Yellow,18199,G3,G5,Low,2.3267037743406247,"Cool, Dry",69,105,Medium,Medium,Medium,Gen-32
30,Chilli baccatum,931,5.552998141360895,Yellow,66131,G7,G9,High,6.916830828358867,"Warm, Dry",55,129,Low,Medium,Low,Gen-55
31,Chilli cardenasii,1191,9.498234954482164,Purple,145741,G7,G3,Medium,5.414693176675645,"Warm, Dry",62,103,Medium,Medium,High,Gen-19
32,Chilli rhomboideum,371,7.279791426106218,Purple,135680,G9,G6,Medium,5.844634992132666,"Warm, Dry",51,138,Low,High,Low,Gen-59
33,Chilli annuum,481,7.521394292315099,Orange,93660,G7,G4,Medium,2.888327356045113,"Warm, Dry",63,116,Low,Low,Medium,Gen-93
34,Chilli cardenasii,902,3.2970650381172097,Orange,132589,G5,G8,Low,6.477939698445253,"Warm, Humid",45,90,High,Low,Medium,Gen-36
35,Chilli chacoense,461,14.029331147335592,Yellow,49114,G3,G8,Medium,9.788462535578262,"Warm, Dry",42,85,Medium,Medium,High,Gen-32
36,Chilli annuum,1471,3.948439205354737,Orange,150367,G8,G5,High,3.1483037599370567,"Warm, Humid",51,97,High,High,Low,Gen-53
37,Chilli flexuosum,855,13.34974242042336,Green,61318,G6,G2,Medium,7.24293566521608,"Cool, Dry",51,83,Medium,High,Medium,Gen-18
38,Chilli lanceolatum,689,8.924705578435354,Orange,16736,G4,G3,Low,9.887255850580534,"Warm, Humid",51,145,Medium,Medium,Low,Gen-19
39,Chilli annuum,775,14.83597797851743,Red,192931,G6,G4,Low,6.041095007669435,"Warm, Dry",44,115,Low,Medium,Medium,Gen-12
40,Chilli frutescens,650,6.096532481952208,Green,111228,G1,G8,High,3.5618802945784376,"Warm, Humid",43,127,Low,Low,Medium,Gen-76
41,Chilli lanceolatum,734,14.780601716014502,Red,86383,G6,G2,Medium,4.711582977201305,"Warm, Humid",63,144,Medium,Medium,High,Gen-3
42,Chilli pubescens,482,8.571226844619787,Green,82471,G3,G4,High,9.668314610586812,"Cool, Dry",60,105,Low,High,Medium,Gen-29
43,Chilli lanceolatum,919,14.320921471343595,Red,165911,G2,G8,High,6.792064214072466,"Warm, Dry",40,101,High,High,Low,Gen-80
44,Chilli chacoense,1469,7.026424188856882,Purple,2559,G1,G5,High,2.4998587682066513,"Warm, Humid",63,142,High,Low,Medium,Gen-30
45,Chilli chinense,1408,7.229522410713309,Yellow,124817,G7,G7,Medium,9.241901346141358,"Warm, Dry",67,127,High,Medium,Low,Gen-63
46,Chilli rhomboideum,534,6.90524167904758,Orange,45066,G2,G7,Medium,2.570633426562988,"Warm, Dry",69,125,Medium,Medium,High,Gen-59
47,Chilli pubescens,714,13.777316861546787,Yellow,179428,G5,G9,High,9.038976688954135,"Cool, Dry",53,134,High,High,Medium,Gen-66
48,Chilli cardenasii,320,9.436828732583455,Orange,89456,G8,G5,Low,6.620979484105792,"Cool, Dry",61,110,Low,High,Low,Gen-10
49,Chilli chacoense,924,7.234237931694551,Red,56635,G3,G5,Medium,3.752505969005949,"Warm, Humid",56,80,Low,Low,Medium,Gen-63
50,Chilli galapagoense,470,6.548572987669983,Red,198003,G3,G7,Medium,9.205382945372806,"Warm, Humid",52,110,Medium,High,High,Gen-12
51,Chilli galapagoense,734,11.57739783842434,Purple,162366,G5,G2,Medium,5.45296526681362,"Cool, Dry",68,82,High,Medium,Low,Gen-33
52,Chilli baccatum,1422,4.580559551044021,Purple,5980,G1,G8,Medium,2.5620487563086725,"Warm, Dry",63,118,Medium,Low,High,Gen-58
53,Chilli annuum,1476,6.4712728012112795,Orange,160806,G2,G8,Low,6.949532533818802,"Warm, Humid",62,145,Low,High,Medium,Gen-58
54,Chilli frutescens,536,10.405382750752748,Orange,186462,G6,G1,High,8.998699860651238,"Cool, Dry",53,135,High,Medium,High,Gen-28
55,Chilli eximium,890,12.350018218383994,Purple,14699,G9,G9,Low,5.426601198605204,"Warm, Dry",48,145,Low,Medium,High,Gen-41
56,Chilli cardenasii,824,11.966478145139998,Purple,7040,G6,G4,High,6.348679839243636,"Warm, Dry",48,128,Medium,Medium,High,Gen-98
57,Chilli flexuosum,1210,3.2460313931733404,Yellow,7374,G2,G1,Low,3.9891292469709567,"Warm, Humid",57,121,Low,Medium,Low,Gen-19
58,Chilli lanceolatum,1334,12.028697014258158,Green,164866,G3,G3,High,8.173261288997612,"Warm, Humid",69,106,High,High,High,Gen-8
59,Chilli pubescens,1342,4.971819635609716,Green,107728,G4,G1,Medium,8.1796129981375,"Cool, Dry",62,92,Medium,Medium,High,Gen-55
60,Chilli frutescens,1104,14.979805830693302,Purple,46872,G8,G5,Low,2.206807004166564,"Warm, Dry",57,82,Medium,High,Low,Gen-82
61,Chilli rhomboideum,764,14.638647519505126,Red,157436,G3,G8,Low,8.564454160226877,"Warm, Dry",62,138,High,Medium,Medium,Gen-67
62,Chilli lanceolatum,1110,4.784854699946035,Orange,41935,G9,G7,Low,6.65464341322877,"Cool, Dry",50,101,Low,High,High,Gen-50
63,Chilli flexuosum,1120,12.732376145312617,Orange,195404,G3,G5,High,6.598663939458431,"Cool, Dry",65,109,High,Medium,Low,Gen-94
64,Chilli rhomboideum,900,12.7552948016394,Yellow,80385,G3,G5,High,8.56570646036192,"Warm, Dry",56,125,High,Low,Low,Gen-36
65,Chilli cardenasii,1210,13.518321682370868,Green,170369,G6,G2,Low,1.3063767382375446,"Warm, Humid",66,97,Medium,High,High,Gen-36
66,Chilli chacoense,1480,5.405407479512146,Orange,130228,G3,G8,Low,5.411463556976757,"Warm, Humid",46,136,High,Low,High,Gen-1
67,Chilli eximium,578,10.86376703224893,Purple,5507,G1,G1,Medium,5.154319733065293,"Cool, Dry",50,139,Medium,Medium,Low,Gen-43
68,Chilli annuum,968,13.691425258943987,Red,158949,G8,G7,Low,6.74096823300326,"Warm, Dry",68,107,Medium,Medium,Low,Gen-6
69,Chilli annuum,686,10.548830425747951,Orange,72901,G3,G7,High,5.1158274581206005,"Warm, Humid",63,145,Medium,Medium,High,Gen-85
70,Chilli rhomboideum,366,3.4339351229081894,Red,20836,G4,G3,Low,4.112150828472489,"Warm, Dry",50,123,Low,High,High,Gen-12
71,Chilli tovarii,840,4.404686176174204,Yellow,192995,G1,G3,High,7.541085652388096,"Warm, Dry",64,129,Medium,High,Low,Gen-42
72,Chilli eximium,1232,7.0628997015808945,Purple,77363,G7,G1,Low,4.708188548145743,"Cool, Dry",45,124,Medium,Medium,High,Gen-31
73,Chilli lanceolatum,495,14.438369050340476,Red,15837,G1,G9,High,6.311075987590249,"Warm, Humid",57,101,High,Medium,High,Gen-90
74,Chilli eximium,1185,11.726598962255963,Green,76900,G9,G4,High,4.4235905161472076,"Warm, Humid",55,125,Low,Low,Low,Gen-57
75,Chilli chacoense,304,7.558602446617487,Purple,48883,G1,G8,Low,8.18126202907312,"Cool, Dry",60,144,High,Low,Low,Gen-46
76,Chilli pubescens,594,13.149942388051183,Green,198415,G3,G7,Medium,2.8516271146908627,"Warm, Dry",63,127,Medium,High,High,Gen-16
77,Chilli chacoense,1198,9.939212117381379,Orange,154535,G8,G5,High,4.593515507930752,"Warm, Humid",43,132,Medium,Low,High,Gen-23
78,Chilli cardenasii,996,7.349954707158622,Orange,145049,G7,G2,Medium,5.934542186664113,"Warm, Humid",64,143,Medium,High,Medium,Gen-60
79,Chilli galapagoense,871,3.837093827405136,Red,195867,G5,G6,High,6.41911272514001,"Cool, Dry",66,83,Medium,Medium,Medium,Gen-38
80,Chilli tovarii,1456,11.511943183830223,Yellow,75050,G7,G1,Low,2.2599605195839447,"Cool, Dry",45,111,High,High,Low,Gen-74
81,Chilli baccatum,1331,7.393854864733626,Red,38996,G1,G1,Medium,7.514122054175427,"Cool, Dry",57,97,Medium,High,High,Gen-52
82,Chilli lanceolatum,1208,8.346662022511385,Yellow,43141,G3,G8,Low,5.704171478275818,"Warm, Humid",58,86,Medium,Low,Low,Gen-16
83,Chilli lanceolatum,429,14.109470851719493,Green,181778,G3,G2,Low,1.0076264107668693,"Warm, Dry",49,117,High,Low,Low,Gen-38
84,Chilli cardenasii,443,6.1791771661283175,Orange,158997,G6,G9,Medium,4.5351190883772015,"Warm, Dry",68,91,Medium,Medium,Low,Gen-82
85,Chilli rhomboideum,1072,4.028937441507621,Yellow,187269,G4,G9,Medium,6.544499496214103,"Cool, Dry",59,102,Medium,Low,Low,Gen-24
86,Chilli baccatum,850,8.144330260538677,Green,187656,G7,G7,Medium,6.0991609715411155,"Warm, Dry",48,130,Low,Medium,High,Gen-26
87,Chilli chacoense,1129,11.630093686484852,Orange,20008,G4,G3,Medium,3.1125022977613037,"Warm, Dry",42,110,High,Medium,High,Gen-65
88,Chilli chinense,1387,10.45087593684403,Green,197423,G5,G4,Low,1.128765971994592,"Warm, Humid",42,86,Low,High,High,Gen-78
89,Chilli cardenasii,313,12.721764642587557,Green,77369,G4,G4,Low,4.787287850661008,"Warm, Humid",54,88,Low,Low,Medium,Gen-69
90,Chilli cardenasii,1414,5.373088069402007,Yellow,86858,G7,G5,Medium,6.242838645844152,"Warm, Dry",62,134,Medium,Medium,Medium,Gen-49
91,Chilli flexuosum,557,7.168339323683181,Orange,45162,G5,G7,Medium,7.195301001512192,"Warm, Dry",50,130,High,High,Medium,Gen-66
92,Chilli eximium,1341,5.489754044049189,Red,155085,G7,G7,Medium,1.8952088912555403,"Warm, Dry",58,85,Medium,High,High,Gen-5
93,Chilli chacoense,1416,10.874471609610767,Orange,133769,G1,G9,Low,1.8426317374409897,"Warm, Humid",43,96,Medium,Medium,High,Gen-29
94,Chilli pubescens,1422,9.250592395678783,Red,142885,G7,G1,High,5.343969064269159,"Warm, Dry",47,83,Medium,Medium,High,Gen-8
95,Chilli cardenasii,1232,10.258779512167864,Red,10210,G7,G8,Medium,2.7097395099231205,"Warm, Humid",54,139,High,Medium,High,Gen-56
96,Chilli rhomboideum,491,6.80155321914782,Orange,25492,G4,G5,Medium,4.927922735386948,"Cool, Dry",41,81,Low,Low,Low,Gen-1
97,Chilli flexuosum,1256,12.607268848732133,Yellow,9931,G1,G4,Low,7.270993000055208,"Warm, Dry",67,94,High,Low,Medium,Gen-25
98,Chilli frutescens,1341,10.335008931969885,Orange,55161,G9,G7,High,6.913170234812106,"Cool, Dry",65,84,Medium,Medium,Medium,Gen-54
99,Chilli frutescens,798,10.882963780482841,Green,64908,G3,G4,High,2.9128005455881807,"Warm, Humid",58,134,High,Low,Medium,Gen-41
100,Chilli flexuosum,733,6.983977646311217,Green,53238,G9,G4,High,2.1469902254589837,"Cool, Dry",40,127,High,High,Medium,Gen-14
101,Chilli galapagoense,943,13.074858382965253,Red,90353,G3,G8,Low,9.66370042522598,"Warm, Dry",66,91,Low,High,Medium,Gen-77
102,Chilli chinense,1339,11.499258965872198,Green,94182,G7,G7,High,7.260778882809506,"Warm, Dry",40,127,Medium,Medium,Medium,Gen-46
103,Chilli pubescens,522,13.044214007263514,Green,157254,G2,G7,High,7.530021291372855,"Cool, Dry",52,117,Low,Low,High,Gen-22
104,Chilli frutescens,1328,13.470843530792248,Green,105763,G5,G3,High,1.1663254037603248,"Cool, Dry",54,81,High,Low,High,Gen-34
105,Chilli tovarii,816,7.123456874350019,Yellow,95265,G7,G4,Low,2.3063156063008394,"Warm, Dry",45,88,Medium,High,High,Gen-78
106,Chilli annuum,768,4.422313153561581,Purple,22910,G4,G2,High,9.724748489837058,"Cool, Dry",57,85,Low,High,Medium,Gen-72
107,Chilli galapagoense,566,10.609353929771915,Green,192750,G8,G6,High,6.550690162130615,"Warm, Humid",61,128,Medium,Medium,Low,Gen-42
108,Chilli frutescens,391,11.522597522311093,Orange,78381,G2,G2,Medium,7.306394303146761,"Warm, Humid",50,90,Medium,Medium,High,Gen-54
109,Chilli pubescens,562,10.381874622651667,Green,65234,G5,G4,Low,8.073460620660079,"Cool, Dry",67,118,Low,High,Medium,Gen-61
110,Chilli chinense,1360,6.587761358115621,Green,166901,G2,G7,Medium,2.7033691241401905,"Cool, Dry",50,109,High,High,Medium,Gen-14
111,Chilli lanceolatum,1276,8.27313434392699,Orange,149155,G3,G2,Low,9.40358137396188,"Cool, Dry",47,92,High,Low,Medium,Gen-36
112,Chilli annuum,648,10.914958084095364,Red,184119,G3,G9,Low,7.82092726285356,"Warm, Dry",60,100,High,High,Low,Gen-55
113,Chilli chacoense,1274,8.237444935331064,Red,169450,G5,G9,Medium,7.668396595149268,"Cool, Dry",53,102,Low,Medium,Medium,Gen-62
114,Chilli chinense,583,4.294528420127866,Orange,61591,G9,G6,High,9.19112642167854,"Cool, Dry",58,95,Medium,High,Low,Gen-61
115,Chilli lanceolatum,857,10.576655331342446,Red,146745,G6,G2,Medium,1.7943188810656658,"Warm, Humid",49,82,High,Medium,High,Gen-17
116,Chilli frutescens,1351,10.649872540116876,Orange,156349,G2,G7,Medium,2.79505611123992,"Cool, Dry",69,114,High,Low,Low,Gen-10
117,Chilli rhomboideum,1061,10.236544137545076,Red,15458,G8,G9,High,9.033587621016963,"Warm, Dry",57,98,Low,High,Medium,Gen-24
118,Chilli galapagoense,788,3.0612424718891575,Yellow,192582,G7,G8,Medium,4.9661509373524195,"Warm, Dry",47,144,High,High,Low,Gen-73
119,Chilli baccatum,1156,5.513459037917567,Orange,94167,G7,G9,Medium,6.743078195193998,"Warm, Dry",66,118,Medium,High,Medium,Gen-50
120,Chilli cardenasii,1111,9.325398567653563,Orange,18485,G2,G6,Low,3.134162234305853,"Warm, Dry",68,134,Medium,High,Low,Gen-54
121,Chilli tovarii,1133,4.208971032060601,Red,110992,G5,G7,Medium,4.378198604830889,"Cool, Dry",63,140,Medium,High,High,Gen-27
122,Chilli tovarii,309,13.479170955584124,Purple,41385,G9,G2,Medium,7.791976793656282,"Warm, Dry",66,112,High,Low,High,Gen-29
123,Chilli annuum,670,9.393501886279475,Orange,175321,G8,G4,High,1.0759496320371027,"Cool, Dry",45,95,Low,High,High,Gen-30
124,Chilli chinense,346,10.650942163233902,Green,38106,G8,G8,High,8.96017412388145,"Cool, Dry",51,85,Low,Medium,Medium,Gen-92
125,Chilli galapagoense,1329,9.324004255806956,Orange,185116,G1,G3,Medium,3.623286403370645,"Cool, Dry",45,93,Low,Medium,High,Gen-33
126,Chilli tovarii,337,9.210016777276605,Yellow,80768,G1,G4,Low,2.2681764660263353,"Cool, Dry",65,117,High,Medium,Medium,Gen-19
127,Chilli annuum,742,7.329218017103657,Yellow,50651,G4,G7,Low,7.843464243009882,"Cool, Dry",49,96,High,High,High,Gen-44
128,Chilli rhomboideum,980,12.743700362357558,Red,16089,G5,G1,Low,5.97890597145834,"Warm, Dry",42,137,Low,Low,Medium,Gen-96
129,Chilli eximium,1095,4.255887998895794,Orange,157592,G8,G1,Medium,2.617652821099532,"Cool, Dry",51,142,Low,High,High,Gen-55
130,Chilli lanceolatum,1097,12.598921589091605,Yellow,157955,G9,G5,High,9.277150328570949,"Warm, Dry",59,118,High,Low,Low,Gen-77
131,Chilli chinense,328,10.831976956917101,Yellow,187568,G2,G9,High,3.0179127404810573,"Warm, Humid",65,115,Medium,Medium,Low,Gen-21
132,Chilli pubescens,797,6.611347130886524,Purple,124047,G2,G9,Low,5.236406121128322,"Warm, Dry",58,117,Low,Low,Low,Gen-6
133,Chilli frutescens,461,6.789485659422667,Orange,174397,G7,G8,Low,3.1329310586423524,"Warm, Humid",57,148,Medium,Medium,High,Gen-60
134,Chilli frutescens,470,11.11584204712019,Orange,32587,G2,G1,Low,1.3329420544590478,"Warm, Humid",48,115,Low,Medium,Medium,Gen-17
135,Chilli galapagoense,978,12.063905684943379,Green,132773,G3,G8,High,8.02578136063769,"Warm, Dry",67,96,Low,Medium,Low,Gen-55
136,Chilli baccatum,495,14.244872995587041,Yellow,48519,G2,G1,Low,3.0534192307828762,"Warm, Humid",55,135,Low,Low,High,Gen-89
137,Chilli tovarii,932,6.373960007853379,Green,1377,G8,G5,Medium,5.274767040690733,"Cool, Dry",49,145,High,Low,Medium,Gen-65
138,Chilli eximium,484,13.296207156333832,Purple,77279,G7,G1,Low,9.325409547651464,"Warm, Dry",44,136,Low,High,High,Gen-77
139,Chilli frutescens,927,6.139041072091722,Red,3317,G6,G4,High,2.616142398802123,"Warm, Dry",43,141,High,Low,Medium,Gen-76
140,Chilli pubescens,674,3.6286591119317495,Red,21989,G9,G3,Low,7.680480234838688,"Warm, Humid",47,135,High,Medium,Medium,Gen-62
141,Chilli cardenasii,921,7.4580773565346785,Purple,133515,G2,G4,High,8.6216327477131,"Warm, Humid",59,113,Low,High,High,Gen-75
142,Chilli frutescens,1358,10.620888895041126,Purple,53202,G2,G5,High,8.457074397711267,"Cool, Dry",61,111,Medium,Medium,Medium,Gen-59
143,Chilli baccatum,568,10.332702430915884,Red,123534,G4,G5,Low,6.162748936753842,"Warm, Dry",65,81,High,High,High,Gen-91
144,Chilli annuum,1376,5.827332773421506,Purple,53727,G5,G7,Medium,4.702125619746324,"Warm, Dry",63,88,Medium,Low,High,Gen-73
145,Chilli pubescens,1272,9.12642861083106,Orange,93994,G3,G1,High,5.377019651567693,"Warm, Dry",68,135,High,Medium,Low,Gen-87
146,Chilli lanceolatum,1297,12.497855309723874,Yellow,113007,G2,G1,Low,5.513994413910849,"Warm, Dry",60,110,Low,Medium,Medium,Gen-25
147,Chilli annuum,1264,12.649775156155691,Red,132747,G4,G9,High,7.978002517968367,"Warm, Dry",66,85,High,Medium,Medium,Gen-38
148,Chilli tovarii,1282,10.221717277453394,Green,88569,G4,G1,Low,4.379429167472354,"Cool, Dry",62,85,Medium,High,High,Gen-80
149,Chilli eximium,1024,3.6990342707965542,Green,31669,G9,G2,High,5.155445829331399,"Warm, Humid",54,94,Low,High,Low,Gen-15
150,Chilli chinense,1453,8.006357235089087,Orange,198029,G4,G1,Low,3.7334435466408378,"Cool, Dry",62,116,Low,Medium,Low,Gen-20
151,Chilli cardenasii,775,10.910216583684763,Orange,177016,G4,G2,Medium,3.196692336750211,"Warm, Dry",48,92,High,High,High,Gen-90
152,Chilli pubescens,1375,4.408142412526788,Red,138934,G2,G8,High,8.785423004290854,"Warm, Dry",44,115,Medium,High,Low,Gen-46
153,Chilli tovarii,1226,13.935722909728977,Purple,113545,G9,G6,Low,9.113045264278641,"Cool, Dry",58,143,Low,Low,Medium,Gen-65
154,Chilli pubescens,1417,3.836632714012368,Yellow,97653,G7,G5,Low,7.4214707637197215,"Warm, Humid",41,92,High,Low,Medium,Gen-1
155,Chilli chacoense,384,9.148600317763837,Yellow,165774,G9,G4,Medium,6.855654545122038,"Warm, Dry",45,129,Medium,High,Medium,Gen-73
156,Chilli galapagoense,318,5.529484322363917,Orange,181600,G5,G5,Medium,3.826598749896127,"Cool, Dry",45,110,High,Low,Low,Gen-48
157,Chilli pubescens,677,10.78073345156448,Orange,110656,G2,G4,Low,4.869259555926272,"Warm, Dry",56,103,Low,High,High,Gen-54
158,Chilli cardenasii,779,9.825071987030931,Yellow,81238,G8,G8,Medium,3.399752383116477,"Warm, Humid",56,127,High,High,Medium,Gen-93
159,Chilli frutescens,456,6.623390130711327,Yellow,32974,G7,G5,Low,1.3327185388764653,"Cool, Dry",53,96,Medium,Medium,Low,Gen-65
160,Chilli baccatum,749,4.502439686214084,Green,195384,G6,G4,High,8.830399645004604,"Warm, Dry",65,92,Low,Medium,High,Gen-3
161,Chilli chinense,641,4.73713476970854,Red,119769,G3,G6,High,1.8833640264663272,"Warm, Humid",65,105,High,Low,Medium,Gen-72
162,Chilli lanceolatum,445,9.501435699167974,Orange,62185,G9,G9,High,5.5278437360995,"Warm, Dry",41,143,High,High,Medium,Gen-12
163,Chilli annuum,1174,8.040880042557168,Red,125371,G6,G6,Low,5.844567656875643,"Cool, Dry",61,118,High,Medium,Low,Gen-66
164,Chilli cardenasii,746,5.739396306339876,Green,72844,G4,G4,Low,7.354356497455698,"Warm, Dry",48,118,Medium,Low,Medium,Gen-89
165,Chilli baccatum,399,5.443640995423513,Red,47177,G2,G4,High,9.84466455292684,"Warm, Dry",46,90,Low,High,Low,Gen-57
166,Chilli frutescens,1462,14.237718760620096,Purple,149370,G7,G8,High,7.929058122073085,"Warm, Dry",65,124,Medium,High,Medium,Gen-74
167,Chilli chacoense,1370,14.724311290201655,Yellow,34229,G1,G9,Low,1.7325901549594755,"Warm, Humid",43,136,High,Low,Medium,Gen-56
168,Chilli chacoense,624,14.250329207726327,Yellow,50903,G2,G3,High,7.783537212210543,"Warm, Humid",57,84,Medium,High,Low,Gen-77
169,Chilli eximium,1242,6.998720883625952,Orange,67256,G5,G1,High,1.9199135972771506,"Warm, Humid",49,121,High,Medium,Low,Gen-47
170,Chilli annuum,1458,14.98994196500821,Orange,177123,G7,G2,High,1.8653139835805368,"Warm, Humid",41,100,Medium,Low,High,Gen-18
171,Chilli eximium,942,8.5468939885843,Purple,180545,G2,G8,Medium,4.488272403121655,"Warm, Humid",65,84,Low,High,Low,Gen-8
172,Chilli annuum,1104,13.36403053227804,Green,27927,G7,G9,Medium,1.3005932978770094,"Cool, Dry",69,140,High,Medium,Medium,Gen-13
173,Chilli cardenasii,1197,3.349795544953435,Orange,91439,G5,G4,High,1.2080684008067393,"Warm, Dry",52,95,Low,High,Low,Gen-51
174,Chilli rhomboideum,967,7.011331958229089,Red,79806,G8,G6,Low,5.598569739623098,"Warm, Dry",54,125,Medium,Low,High,Gen-67
175,Chilli baccatum,1227,9.247665639452038,Orange,31761,G5,G8,Low,9.534153674782042,"Warm, Humid",63,116,High,High,High,Gen-36
176,Chilli baccatum,1209,4.512770389618501,Green,44437,G5,G1,Medium,9.26791199263906,"Warm, Humid",65,101,Medium,High,Low,Gen-74
177,Chilli chacoense,341,9.148841597786092,Red,42455,G3,G8,Low,7.130311739691878,"Warm, Dry",61,125,Medium,High,Low,Gen-10
178,Chilli chacoense,529,10.483822097370462,Red,101723,G5,G7,High,8.246172511539381,"Warm, Humid",49,80,Low,High,Low,Gen-11
179,Chilli eximium,758,9.08400530663197,Yellow,162611,G7,G6,Low,7.634496433102068,"Cool, Dry",51,128,Medium,Low,High,Gen-56
180,Chilli rhomboideum,1133,14.142177640083844,Red,1228,G8,G7,Low,9.195012692063353,"Cool, Dry",49,131,High,Medium,Medium,Gen-43
181,Chilli frutescens,641,4.207695678460216,Yellow,55553,G4,G7,High,7.3296970023767924,"Warm, Humid",66,128,Low,Medium,Medium,Gen-90
182,Chilli pubescens,306,8.556579975174317,Purple,122919,G2,G9,High,2.269289209459223,"Cool, Dry",45,133,High,Medium,Medium,Gen-68
183,Chilli chinense,1227,11.041039487776821,Purple,57542,G2,G5,Low,3.422878956301485,"Warm, Humid",56,93,High,High,High,Gen-74
184,Chilli annuum,793,11.665919667588643,Yellow,20645,G8,G6,Low,7.880463647082132,"Cool, Dry",56,138,High,Medium,High,Gen-73
185,Chilli annuum,385,13.998527117946985,Green,58624,G3,G5,Medium,8.104779269506865,"Warm, Dry",42,81,Low,Medium,Medium,Gen-4
